id,production_date,panel_serial_nbr,energy_produced
7411,2023-07-18,482303052269,1.87
7412,2023-07-18,482303052299,2.08
7413,2023-07-18,482303052413,2.01
7414,2023-07-18,482303052483,1.87
7415,2023-07-18,482303052487,2.07
7416,2023-07-18,482303052489,2.05
7417,2023-07-18,482303052497,2.15
7418,2023-07-18,482303052574,1.89
7419,2023-07-18,482303052582,2.17
7420,2023-07-18,482303052599,2.09
7801,2023-07-17,482303052269,1.94
7802,2023-07-17,482303052299,2.1
7803,2023-07-17,482303052413,1.86
7804,2023-07-17,482303052483,1.93
7805,2023-07-17,482303052487,2.08
7806,2023-07-17,482303052489,1.88
7807,2023-07-17,482303052497,2.08
7808,2023-07-17,482303052574,1.93
7809,2023-07-17,482303052582,2.08
7810,2023-07-17,482303052599,2.08
8201,2023-07-16,482303052269,1.57
8202,2023-07-16,482303052299,1.73
8203,2023-07-16,482303052413,1.64
8204,2023-07-16,482303052483,1.56
8205,2023-07-16,482303052487,1.71
8206,2023-07-16,482303052489,1.66
8207,2023-07-16,482303052497,1.76
8208,2023-07-16,482303052574,1.57
8209,2023-07-16,482303052582,1.77
8210,2023-07-16,482303052599,1.72
8611,2023-07-15,482303052269,1.53
8612,2023-07-15,482303052299,1.72
8613,2023-07-15,482303052413,1.62
8614,2023-07-15,482303052483,1.52
8615,2023-07-15,482303052487,1.71
8616,2023-07-15,482303052489,1.64
8617,2023-07-15,482303052497,1.76
8618,2023-07-15,482303052574,1.53
8619,2023-07-15,482303052582,1.76
8620,2023-07-15,482303052599,1.71
9031,2023-07-14,482303052269,1.28
9032,2023-07-14,482303052299,1.46
9033,2023-07-14,482303052413,1.48
9034,2023-07-14,482303052483,1.26
9035,2023-07-14,482303052487,1.45
9036,2023-07-14,482303052489,1.5
9037,2023-07-14,482303052497,1.55
9038,2023-07-14,482303052574,1.29
9039,2023-07-14,482303052582,1.56
9040,2023-07-14,482303052599,1.46
9461,2023-07-13,482303052269,2.14
9462,2023-07-13,482303052299,2.3
9463,2023-07-13,482303052413,2.11
9464,2023-07-13,482303052483,2.15
9465,2023-07-13,482303052487,2.29
9466,2023-07-13,482303052489,2.13
9467,2023-07-13,482303052497,2.32
