id,consumption_date,stand_i,stand_ii,gas
827,2020-01-24 07:30:00.000000,44318,43378,37646.92
828,2020-01-25 08:30:00.000000,44321,43388,37651.871
829,2020-01-26 09:00:00.000000,44336,43388,37653.275
830,2020-01-27 06:30:00.000000,44349,43389,37655.531
831,2020-01-28 07:30:00.000000,44350,43396,37661.851
832,2020-01-29 08:00:00.000000,44352,43404,37665.998
833,2020-01-30 07:30:00.000000,44353,43413,37669.223
834,2020-01-31 07:30:00.000000,44354,43421,37671.948
835,2020-02-01 07:30:00.000000,44357,43429,37672.668
836,2020-02-02 07:30:00.000000,44367,43429,37674.497
837,2020-02-03 07:30:00.000000,44376,43429,37676.859
838,2020-02-04 07:30:00.000000,44378,43437,37678.758
839,2020-02-05 07:30:00.000000,44379,43445,37682.595
840,2020-02-06 07:30:00.000000,44381,43454,37684.849
841,2020-02-07 07:30:00.000000,44382,43461,37686.978
842,2020-02-08 09:00:00.000000,44386,43468,37690.089
843,2020-02-09 09:00:00.000000,44397,43468,37695.204
844,2020-02-10 07:30:00.000000,44408,43468,37696.591
845,2020-02-11 07:30:00.000000,44409,43475,37699.025
846,2020-02-12 00:00:00.000000,44409,43475,37699.025
847,2020-02-13 07:30:00.000000,44412,43488,37705.883
848,2020-02-14 07:30:00.000000,44414,43494,37710.903
849,2020-02-15 09:00:00.000000,44415,43502,37712.763
850,2020-02-16 09:30:00.000000,44427,43502,37713.66
851,2020-02-17 07:30:00.000000,44436,43502,37714.459
852,2020-02-18 07:30:00.000000,44437,43510,37717.367
853,2020-02-19 07:30:00.000000,44439,43518,37718.177
854,2020-02-20 08:00:00.000000,44440,43528,37721.702
855,2020-02-21 07:30:00.000000,44442,43533,37726.111
856,2020-02-22 07:30:00.000000,44443,43542,37727.722
857,2020-02-23 07:30:00.000000,44458,43542,37731.665
858,2020-02-24 07:30:00.000000,44468,43542,37734.471
859,2020-02-25 07:30:00.000000,44470,43549,37736.333
860,2020-02-26 07:30:00.000000,44472,43556,37739.958
